Unknown
Clear
Scattered Clouds
Partly Cloudy
Mostly Cloudy
Overcast
Patches of Fog
Shallow Fog
Fog
Haze
Mist
Light Drizzle
Light Hail
Light Rain
Light Thunderstorms and Rain
Rain
Heavy Rain
Thunderstorms and Rain
Light Freezing Fog
Light Freezing Rain
Freezing Rain
Light Snow
Snow
