"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"11",2016-09-29,"Thursday",615,625,15,180,NA,795,170,-90,112,157,70,53,"Overcast",0,0,57,5,"Fall","0","9",159.571428571429,115,120,136,142,135,147,157,0.407517703069515,0.5795608546944,-1.13660862373654,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.790963283394873,-0.174175687498019,-0.0588178109437439,0.214257669275298,0.286625186943319,0.476736936917255,0.0704987875041338,-0.0382186329351319,151
"12",2016-09-30,"Friday",638,597,0,105,NA,743,146,-60,164,270,70,45,"Mostly Cloudy",0,0,69,6,"Fall","0","9",161.714285714286,129,157,170.666666666667,192.5,173.25,199.75,270,0.407517703069515,-0.156174874213776,-0.164923016458407,-0.409028169625083,-0.0776222793814696,-0.461882439916727,0.839821679195705,0.0899599598999433,0.511979533598901,0.835611653112613,1.18670873670388,1.16070795076672,0.978601339378002,1.82523188094508,224
"13",2016-10-01,"Saturday",473,519,45,150,NA,623,104,15,156,153,64,52,"Rain",0.12,0,73,10,"Fall","0","10",172.857142857143,182.333333333333,270,170.4,180,153,190,195,0.0471364770668413,0.487593888580878,0.158972185967638,0.583581592331329,-0.0776222793814696,-0.00941163035634137,1.09388533736003,1.09619099760647,2.25522547774265,0.830832007083095,0.963915778842353,0.798605649317003,0.810753000406055,0.588428442529009,163
"14",2016-10-02,"Sunday",470,475,0,180,NA,650,175,-15,106,120,60,51,"Rain",0.22,0,79,5,"Fall","0","10",160.714285714286,193.333333333333,153,110,120,95,120,120,-0.193117673601608,0.395626922467356,0.644814989606706,-0.657180610114186,-0.0776222793814696,0.367647377610647,0.81702109448865,1.30372614913344,0.450271712567264,-0.251757818602689,-0.105490418892963,-0.238526868415517,-0.394311997341258,-0.648374995887059,113
"15",2016-10-03,"Monday",530,533,0,75,NA,605,72,90,87,80,61,47,"Rain",0.01,0,72,5,"Fall","0","10",149.285714285714,181,120,79,80,65,95,95,-0.133054135934495,0.027759058013268,0.0779983853611272,-0.657180610114186,-0.0776222793814696,-0.424176539120029,0.556442983550878,1.0710352216638,-0.0588178109437439,-0.807391669534134,-0.818427884049841,-0.774974722415096,-0.824692353679584,-1.06064280869241,82
"16",2016-10-04,"Tuesday",525,602,75,180,NA,705,103,0,84,90,63,53,"Rain",0.15,0,83,9,"Fall","0","10",144.285714285714,117.666666666667,80,90,90,87.5,92.5,100,-0.0129270606002709,0.5795608546944,0.968710192032751,0.335429151842226,-0.0776222793814696,0.103706072033755,0.442440060015602,-0.123864135612693,-0.675896021260117,-0.610231270816525,-0.640193517760622,-0.372638831915412,-0.867730389313417,-0.978189246131344,88
"17",2016-10-05,"Wednesday",615,623,15,120,NA,735,112,-30,86,68,63,54,"Rain",0.25,0,85,11,"Fall","0","10",141.428571428571,96.6666666666667,90,77.5,68.5,68,78,105,-0.0129270606002709,0.671527820807922,1.13065779324577,0.831734032820432,-0.0776222793814696,0.480765080000744,0.377295532281159,-0.520067606709636,-0.521626468681023,-0.834277178450172,-1.02339740528244,-0.721329937015138,-1.11735099598965,-0.895735683570272,71
"18",2016-10-06,"Thursday",667,625,0,150,NA,817,192,-105,112,86,62,55,"Rain",0.14,0,71,8,"Fall","0","10",134,79.3333333333333,68,95,100.5,77.75,117.75,126,-0.0729905982673832,0.763494786921444,-0.00297541524538409,0.0872767113531228,-0.0776222793814696,0.0660001712370564,0.207919760171608,-0.847092693964256,-0.861019484355029,-0.520612907763066,-0.453047433156941,-0.546984384465275,-0.433046229411708,-0.549430720813773,97
"19",2016-10-07,"Friday",731,597,0,0,NA,731,134,-45,164,186,62,55,"Rain",0.25,0,86,7,"Fall","0","10",123.857142857143,81.3333333333333,86,161.5,174,143.5,192,210,-0.0729905982673832,0.763494786921444,1.21163159385228,-0.16087572913598,-0.0776222793814696,0.480765080000744,-0.0233433132856651,-0.809359030050262,-0.583334289712661,0.671311320847938,0.856975159068822,0.628730495550469,0.845183428913121,0.835789130212223,162
"20",2016-10-08,"Saturday",545,519,0,105,NA,650,131,-15,156,180,70,57,"Rain",0.11,0,80,8,"Fall","0","10",111.857142857143,113.333333333333,186,170.4,180,153,190,195,0.407517703069515,0.947428719148488,0.725788790213217,0.0872767113531228,-0.0776222793814696,-0.0471175311530402,-0.296950329770326,-0.205620407426348,0.959361236078271,0.830832007083095,0.963915778842353,0.798605649317003,0.810753000406055,0.588428442529009,179
