"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"14",2016-10-02,"Sunday",470,475,0,180,NA,650,175,-15,106,120,60,51,"Rain",0.22,0,79,5,"Fall","0","10",160.714285714286,193.333333333333,153,99,98.5,80,120,200,-0.193117673601608,0.395626922467356,0.64405750205016,-0.657180610114186,-0.0776222793814696,0.367647377610647,0.8286263677225,1.29597511858634,0.487702474422742,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,114
"15",2016-10-03,"Monday",530,533,0,75,NA,605,72,90,87,80,61,47,"Rain",0.01,0,72,5,"Fall","0","10",149.285714285714,181,120,74.0625,75.5,62.25,95,135,-0.133054135934495,0.027759058013268,0.0775333074697584,-0.657180610114186,-0.0776222793814696,-0.424176539120029,0.586583822215895,1.07697626257241,-0.000614960957582384,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,84
"16",2016-10-04,"Tuesday",525,602,75,180,NA,705,103,0,84,90,63,53,"Rain",0.15,0,83,9,"Fall","0","10",144.285714285714,117.666666666667,80,69.1875,79.5,59.5,91,120,-0.0129270606002709,0.5795608546944,0.967785613238962,0.335429151842226,-0.0776222793814696,0.103706072033755,0.480690208556755,-0.0476124574991328,-0.592514882630703,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,84
"17",2016-10-05,"Wednesday",615,623,15,120,NA,735,112,-30,86,68,63,54,"Rain",0.25,0,85,11,"Fall","0","10",141.428571428571,96.6666666666667,90,65.6875,72,22.5,105,128,-0.0129270606002709,0.671527820807922,1.12964966883336,0.831734032820432,-0.0776222793814696,0.480765080000744,0.420179572180103,-0.420502401522855,-0.444539902212423,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,75
"18",2016-10-06,"Thursday",667,625,0,150,NA,817,192,-105,112,86,62,55,"Rain",0.14,0,71,8,"Fall","0","10",134,79.3333333333333,68,73.7333333333333,97,0,120.5,157,-0.0729905982673832,0.763494786921444,-0.00339872032744186,0.0872767113531228,-0.0776222793814696,0.0660001712370564,0.26285191760081,-0.728284577542436,-0.770084859132639,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,97
"19",2016-10-07,"Friday",731,597,0,0,NA,731,134,-45,164,186,62,55,"Rain",0.25,0,86,7,"Fall","0","10",123.857142857143,81.3333333333333,86,126.9375,148.5,48,196.5,270,-0.0729905982673832,0.763494786921444,1.21058169663056,-0.16087572913598,-0.0776222793814696,0.480765080000744,0.0480391584636974,-0.692771249540176,-0.503729894379735,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,171
"20",2016-10-08,"Saturday",545,519,0,105,NA,650,131,-15,156,180,70,57,"Rain",0.11,0,80,8,"Fall","0","10",111.857142857143,113.333333333333,186,146.9375,166.5,128,188.5,238,0.407517703069515,0.947428719148488,0.724989529847361,0.0872767113531228,-0.0776222793814696,-0.0471175311530402,-0.206105514318239,-0.124558001504028,0.976019909803066,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,179
"21",2016-10-09,"Sunday",470,475,0,105,NA,575,100,60,106,120,62,51,"Rain",0.85,0,90,8,"Fall","0","10",115.714285714286,150.666666666667,180,99,98.5,80,120,200,-0.0729905982673832,0.395626922467356,1.53430980781936,0.0872767113531228,-0.0776222793814696,2.74311912780267,-0.124416155209759,0.538357454538145,0.887234921552098,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,111
"22",2016-10-10,"Monday",455,533,75,75,NA,530,-3,165,87,95,62,44,"Mostly Cloudy",0,0,74,3,"Fall","1","10",115.714285714286,162,120,74.0625,75.5,62.25,95,135,-0.0729905982673832,-0.248141840327298,0.239397363064159,-1.15348549109239,-0.0776222793814696,-0.461882439916727,-0.124416155209759,0.739599646550948,-0.000614960957582384,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,95
"23",2016-10-11,"Tuesday",435,602,165,150,NA,585,-17,135,84,100,66,42,"Fog",0,0,63,8,"Fall","0","10",117.857142857143,131.666666666667,95,69.1875,79.5,59.5,91,120,0.167263552401066,-0.432075772554342,-0.650854942705044,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.0790331779272706,0.200980838516682,-0.370552412003283,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,102
