"airport","date","maxTemp","minTemp","precipitation","cloudCover","conditions","humidity","wind","snow","rain","conditions1","conditions2","conditions3"
"PDX",2017-02-02,39,34,0.001,7,"Mostly Cloudly",33,40,0,0,"Mostly Cloudly",NA,NA
"PDX",2017-02-03,34,31,0.4,8,"Rain",70,24,0,0.4,"Rain",NA,NA
"PDX",2017-02-04,52,33,0.4,8,"Rain",92,21,0,0.4,"Rain",NA,NA
"PDX",2017-02-05,46,34,1.57,8,"Rain",95,16,0,1.57,"Rain",NA,NA
"PDX",2017-02-06,44,36,0.04,6,"Rain",85,22,0,0.04,"Rain",NA,NA
"PDX",2017-02-07,39,32,0.08,8,"Fog",90,13,0,0.08,"Fog","Rain","Snow"
"PDX",2017-02-08,37,35,0.6,8,"Rain",93,21,0,0.6,"Rain",NA,NA
"PDX",2017-02-09,59,37,0.96,7,"Thunderstorm",84,26,0,0.96,"Rain","Thunderstorm",NA
"PDX",2017-02-10,51,44,0.09,6,"Rain",72,22,0,0.09,"Rain",NA,NA
"PDX",2017-02-11,53,36,0.001,5,"Partly Cloudly",71,7,0,0,"Partly Cloudly",NA,NA
"PDX",2017-02-12,51,31,0,6,"Fog",76,10,0,0,"Fog",NA,NA
"PDX",2017-02-13,53,29,0,1,"Clear",69,21,0,0,"Clear",NA,NA
"PDX",2017-02-14,50,33,0,5,"Rain",64,18,0,0,"Rain",NA,NA
"PDX",2017-02-15,43,38,0.72,8,"Rain",83,25,0,0.72,"Rain",NA,NA
"PDX",2017-02-16,49,41,1.64,8,"Rain",97,22,0,1.64,"Rain",NA,NA
"PDX",2017-02-17,57,40,0.001,7,"Rain",77,13,0,0.001,"Rain",NA,NA
"PDX",2017-02-18,46,42,0.15,8,"Rain",92,13,0,0.15,"Rain",NA,NA
"PDX",2017-02-19,51,40,0.26,8,"Rain",83,24,0,0.26,"Rain",NA,NA
"PDX",2017-02-20,49,40,0.81,8,"Rain",90,18,0,0.81,"Rain",NA,NA
"PDX",2017-02-21,48,41,0.52,7,"Rain",92,17,0,0.52,"Rain",NA,NA
"PDX",2017-02-22,45,31,0,6,"Fog",85,13,0,0,"Fog",NA,NA
"PDX",2017-02-23,44,33,0.001,6,"Rain",85,10,0,0.001,"Rain",NA,NA
"PDX",2017-02-24,41,32,0.07,7,"Rain",91,14,0,0.07,"Rain",NA,NA
"PDX",2017-02-25,48,31,0,6,"Rain",77,7,0,0,"Rain",NA,NA
"PDX",2017-02-26,43,37,0.14,7,"Rain",84,17,0,0.14,"Rain","Snow",NA
"PDX",2017-02-27,45,36,0.03,8,"Rain",79,18,0,0.03,"Rain",NA,NA
"PDX",2017-02-28,50,36,0.02,6,"Rain",74,15,0,0.02,"Rain",NA,NA
"PDX",2017-03-01,51,43,0.001,8,"Rain",76,17,0,0.001,"Rain",NA,NA
"PDX",2017-03-02,51,36,0.02,8,"Rain",77,17,0,0.02,"Rain",NA,NA
"PDX",2017-03-03,53,45,0.02,8,"Rain",71,24,0,0.02,"Rain",NA,NA
"PDX",2017-03-04,47,35,0.11,7,"Rain",87,23,0,0.11,"Rain",NA,NA
"PDX",2017-03-05,47,36,0.08,7,"Rain",69,26,0,0.08,"Rain",NA,NA
"PDX",2017-03-06,46,34,0.08,7,"Snow",73,21,0,0.08,"Rain","Snow","Thunderstorm"
"PDX",2017-03-07,49,40,0.49,8,"Rain",91,20,0,0.49,"Rain",NA,NA
"PDX",2017-03-08,47,42,0.3,8,"Rain",87,8,0,0.3,"Rain",NA,NA
"PDX",2017-03-09,57,41,0.49,8,"Rain",96,18,0,0.49,"Rain",NA,NA
"PDX",2017-03-10,60,50,0.001,6,"Partly Cloudly",65,23,0,0,"Partly Cloudly",NA,NA
"PDX",2017-03-11,58,39,0.3,7,"Rain",81,21,0,0.3,"Rain",NA,NA
"PDX",2017-03-12,61,46,0,7,"Mostly Cloudly",74,10,0,0,"Mostly Cloudly",NA,NA
"PDX",2017-03-13,53,46,0.51,8,"Rain",91,17,0,0.51,"Rain",NA,NA
"PDX",2017-03-14,57,49,0.62,8,"Rain",93,22,0,0.62,"Rain",NA,NA
"PDX",2017-03-15,57,45,0.51,8,"Rain",86,31,0,0.51,"Rain",NA,NA
"PDX",2017-03-16,55,37,0,3,"Scattered Clouds",65,10,0,0,"Scattered Clouds",NA,NA
"PDX",2017-03-17,48,37,0.35,7,"Rain",86,24,0,0.35,"Rain",NA,NA
"PDX",2017-03-18,55,36,0.36,7,"Rain",77,21,0,0.36,"Rain",NA,NA
"PDX",2017-03-19,57,32,0,5,"Partly Cloudly",64,13,0,0,"Partly Cloudly",NA,NA
"PDX",2017-03-20,55,38,0.11,7,"Rain",62,25,0,0.11,"Rain",NA,NA
"PDX",2017-03-21,57,44,0.23,7,"Thunderstorm",78,30,0,0.23,"Rain","Thunderstorm",NA
"PDX",2017-03-22,55,42,0.08,6,"Rain",69,22,0,0.08,"Rain",NA,NA
"PDX",2017-03-23,58,41,0.32,7,"Rain",70,16,0,0.32,"Rain",NA,NA
"PDX",2017-03-24,53,46,0.77,8,"Rain",86,20,0,0.77,"Rain",NA,NA
"PDX",2017-03-25,55,41,0,6,"Partly Cloudly",72,14,0,0,"Partly Cloudly",NA,NA
"PDX",2017-03-26,47,44,0.65,8,"Rain",92,18,0,0.65,"Rain",NA,NA
"PDX",2017-03-27,55,45,0.01,7,"Rain",74,22,0,0.01,"Rain",NA,NA
"PDX",2017-03-28,59,46,0.001,8,"Rain",69,20,0,0.001,"Rain",NA,NA
"PDX",2017-03-29,58,46,0.19,7,"Rain",80,22,0,0.19,"Rain",NA,NA
"PDX",2017-03-30,57,43,0.001,7,"Rain",69,18,0,0.001,"Rain",NA,NA
